CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
37310	76218	1	0.9754	-0.000
5019	5217	1	0.9431	-0.042
11191	76218	1	0.9536	-25.979
59565	76218	1	0.9682	-0.000
3894	5019	1	0.9551	-3.950
3894	11191	1	0.9662	-10.021
70040	75398	2	0.9019	-14.016
38656	47725	2	0.9359	-14.016
38656	52896	2	0.9279	-26.016
31045	38656	2	0.9155	-14.016
79521	83214	2	0.9278	-14.016
52324	71235	2	0.9034	-14.016
45919	52324	2	0.911	-0.036
31045	80121	2	0.9005	0.049
21830	49203	2	0.9384	24.000
51757	84246	2	0.9022	-16.031
75520	84246	2	0.9003	-42.047
77970	84246	2	0.9083	-40.031
78914	84246	2	0.9329	-30.047
30046	31045	2	0.908	-14.016
51757	75520	2	0.9066	26.016
75397	75520	2	0.9151	26.016
75520	77970	2	0.9093	-2.016
75520	78914	2	0.9412	-12.000
75520	79521	2	0.9039	-50.016
70040	75520	2	0.9202	-12.036
55150	75520	2	0.9381	-14.016
33528	55150	2	0.9309	-0.000
47725	51757	2	0.9096	0.013
51757	75397	2	0.9157	0.000
51757	78914	2	0.9397	14.016
77970	78914	2	0.9161	-9.984
77970	81934	2	0.9456	-14.016
77970	88559	2	0.9388	-42.047
75397	78914	2	0.9314	14.016
81934	88559	2	0.9162	-28.031
21830	47725	2	0.9032	-0.049
21830	54511	2	0.9015	40.031
21830	71235	2	0.9078	24.000
88559	89263	2	0.9216	-28.031
70040	78914	2	0.9169	-24.036
43789	54511	2	0.905	25.979
31045	60925	2	0.928	0.009
31045	47725	2	0.9356	-28.031
48465	63480	4	0.9632	-28.031
63480	78075	4	0.9437	-56.062
48465	78075	4	0.9363	-84.094
44580	46426	6	0.8099	127.912
44580	47387	6	0.8801	-47.986
44580	49810	6	0.8196	-68.063
44580	49843	6	0.7613	-70.061
44580	59573	6	0.7413	27.858
47387	49843	6	0.7733	-22.074
49810	49843	6	0.8872	-1.998
49843	59573	6	0.8322	97.919
43391	49843	6	0.7725	-81.925
47387	49810	6	0.7397	-20.077
49810	59573	6	0.7837	95.921
43391	49810	6	0.7546	-79.927
46426	59826	6	0.7825	27.859
43391	59826	6	0.7404	143.906
59573	59826	6	0.8634	127.912
46426	47387	6	0.7866	-175.898
46426	59573	6	0.7053	-100.054
43391	46426	6	0.7559	116.048
47387	59573	6	0.8006	75.845
43391	47387	6	0.7226	-59.851
43391	59573	6	0.7707	15.994
23214	61815	7	0.9016	0.000
93218	96019	9	0.9584	-55.990
87894	96019	9	0.9147	-149.033
89578	96019	9	0.9769	-17.026
87894	93218	9	0.9166	-93.043
88459	93218	9	0.9407	-76.016
89578	93218	9	0.9339	38.964
87894	89578	9	0.8683	-132.007
88459	89578	9	0.8804	-114.980
83559	88459	9	0.9013	-91.045
87894	88459	9	0.9747	-17.027
40522	59766	12	0.9474	-14.016
59766	72476	12	0.8761	-0.000
218	300	13	0.908	-18.010
222	300	13	0.9042	60.003
274	300	13	0.9269	23.016
644	855	13	0.8861	17.975
644	1107	13	0.9701	-23.051
644	1446	13	0.9446	22.980
644	1569	13	0.9621	-0.035
583	1096	13	0.9053	-31.950
1096	1106	13	0.8891	3.946
1096	1569	13	0.9081	5.943
1096	98174	13	0.8824	75.950
